observation_source_value,count,condition_concept_id,condition_concept_name,concept_code,vocabulary_id,pcornet_condition_type
speech/language disorder|1123,1839,46287197,Speech disorder,9.59E+14,SNOMED,SM
head lice|542,1833,35205993,Pediculosis due to Pediculus humanus capitis,B85.0,ICD10CM,10
penis/scrotum problem|80,1832,4113718,Penis problem,300528000,SNOMED,SM
difficulty sleeping|421,1817,1576169,Problems related to sleep,Z72.82,ICD10CM,10
schedule imaging|1075,1815,441482,Administrative reason for encounter,185351004,SNOMED,SM
burn,1805,442013,Burn,125666000,SNOMED,SM
newborn|1190,1798,1575982,"Encounter for newborn, infant and child health examinations",Z00.1,ICD10CM,10
dysphagia|981,1794,31317,Dysphagia,40739000,SNOMED,SM
anticoagulation,1793,765418,Anticoagulation service,2.37E+12,SNOMED,SM
strabismus,1784,4329707,Strabismus,22066006,ICD10CM,10
ringworm|665,1462,4224968,Tinea corporis,84849002,SNOMED,SM
sleep issues,1445,1576169,Problems related to sleep,Z72.82,ICD10CM,10
anxiety|9,1399,441542,Anxiety,48694002,SNOMED,SM
