LOINC,LongName,Component
LP116197-7,Death certificate,
LP416787-2,Death certificate | {Setting} | Document ontology,
LP57353-2,Summary of death note,
LP416803-7,Health insurance card &#x7C; {Setting} &#x7C; Document ontology,
LP416787-2,Death certificate &#x7C; {Setting} &#x7C; Document ontology,
LP416786-4,Birth certificate &#x7C; {Setting} &#x7C; Document ontology,
LP267920-9,Proof of encounter certificate,
LP416785-6,Certificate &#x7C; {Setting} &#x7C; Document ontology,
LP230533-4,State of travel,
LP419182-3,State of travel &#x7C; Patient &#x7C; History,
LP416802-9,Driver license &#x7C; {Setting} &#x7C; Document ontology,
LP418057-8,City of travel,
LP419181-5,City of travel &#x7C; Patient &#x7C; History,
LP418079-2,State of known exposure,
LP419189-8,State of known exposure &#x7C; Patient &#x7C; History,
LP116194-4,Health insurance card,
LP149090-5,Birth certificate,
LP149091-3,Certificate,
LP74012-3,Driver license,
LP418851-4,Intensive care unit (ICU) admission date,
LP419194-8,Intensive care unit (ICU) admission date &#x7C; Patient &#x7C; History,
LP418852-2,Intensive care unit (ICU) discharge date,
LP419195-5,Intensive care unit (ICU) discharge date &#x7C; Patient &#x7C; History,
LP36348-8,Patient information,
